label	direct_eigen
Cancer-gain.lex-smallest.exon!stringent.loss	0.8964514557241052
Cancer-gain.lex-smallest.intron!inclusive.both	0.9686314018443976
Cancer-gain.lex-smallest.intron!inclusive.gain	0.999999999995566
Cancer-gain.lex-smallest.intron!inclusive.loss	0.9535591510032557
Cancer-gain.lex-smallest.intron!stringent.both	0.8348172233923439
Cancer-gain.lex-smallest.intron!stringent.gain	1.0000000004447487
Cancer-gain.lex-smallest.intron!stringent.loss	0.7916457147485348
Cancer-gain.lex-smallest.trans!inclusive.both	0.944575666391587
Cancer-gain.lex-smallest.trans!inclusive.gain	1.0000000000175302
Cancer-gain.lex-smallest.trans!inclusive.loss	0.9225936493474756
Cancer-gain.lex-smallest.trans!stringent.both	0.8404075524875939
Cancer-gain.lex-smallest.trans!stringent.gain	1.0000000000307878
Cancer-gain.lex-smallest.trans!stringent.loss	0.8059356427511284
Cancer-loss.all.cds!inclusive.both	0.9532919079184796
Cancer-loss.all.cds!inclusive.gain	0.38550510131032134
Cancer-loss.all.cds!inclusive.loss	0.9989582463772667
Cancer-loss.all.cds!stringent.both	0.9999966201263696
Cancer-loss.all.cds!stringent.gain	0.9160992911114294
Cancer-loss.all.cds!stringent.loss	0.999999208368396
Cancer-loss.all.exon!inclusive.both	0.8246735537038419
Cancer-loss.all.exon!inclusive.gain	0.26621311695446354
Cancer-loss.all.exon!inclusive.loss	0.993747154297136
Cancer-loss.all.exon!stringent.both	0.9997868348277822
Cancer-loss.all.exon!stringent.gain	0.7705780433709281
Cancer-loss.all.exon!stringent.loss	0.9999994110923147
Cancer-loss.all.intron!inclusive.both	0.9471258074641574
Cancer-loss.all.intron!inclusive.gain	0.3451488308411944
Cancer-loss.all.intron!inclusive.loss	0.999560770578261
Cancer-loss.all.intron!stringent.both	0.9999726884943173
Cancer-loss.all.intron!stringent.gain	0.7786416412408163
Cancer-loss.all.intron!stringent.loss	0.9999999569759606
Cancer-loss.all.trans!inclusive.both	0.9194040640743153
Cancer-loss.all.trans!inclusive.gain	0.26251583936470846
Cancer-loss.all.trans!inclusive.loss	0.9992283436372283
Cancer-loss.all.trans!stringent.both	0.9999998774759028
Cancer-loss.all.trans!stringent.gain	0.9282906551549079
Cancer-loss.all.trans!stringent.loss	0.9999999711287515
Cancer-loss.lex-smallest.cds!inclusive.both	0.8954475240784474
Cancer-loss.lex-smallest.cds!inclusive.gain	0.4095915204422405
Cancer-loss.lex-smallest.cds!inclusive.loss	0.9946559488227459
Cancer-loss.lex-smallest.cds!stringent.both	0.9999952459066519
Cancer-loss.lex-smallest.cds!stringent.gain	0.9659960265943877
Cancer-loss.lex-smallest.cds!stringent.loss	0.9999973031973213
Cancer-loss.lex-smallest.exon!inclusive.both	0.9541295018658037
Cancer-loss.lex-smallest.exon!inclusive.gain	0.47023778318083514
Cancer-loss.lex-smallest.exon!inclusive.loss	0.9997314894227827
Cancer-loss.lex-smallest.exon!stringent.both	0.999992163275173
Cancer-loss.lex-smallest.exon!stringent.gain	0.9446569297134917
Cancer-loss.lex-smallest.exon!stringent.loss	0.9999971664600354
Cancer-loss.lex-smallest.intron!inclusive.both	0.9898132129089001
Cancer-loss.lex-smallest.intron!inclusive.gain	0.5677502820921377
Cancer-loss.lex-smallest.intron!inclusive.loss	0.9999733934747884
Cancer-loss.lex-smallest.intron!stringent.both	0.9999992799365799
Cancer-loss.lex-smallest.intron!stringent.gain	0.9549243023864006
Cancer-loss.lex-smallest.intron!stringent.loss	0.9999998163720858
Cancer-loss.lex-smallest.trans!inclusive.both	0.9265540270343847
Cancer-loss.lex-smallest.trans!inclusive.gain	0.3077503996142714
Cancer-loss.lex-smallest.trans!inclusive.loss	0.9987433101248949
Cancer-loss.lex-smallest.trans!stringent.both	0.9999998205251598
Cancer-loss.lex-smallest.trans!stringent.gain	0.9676182911128809
Cancer-loss.lex-smallest.trans!stringent.loss	0.9999998914240865
Curated-gain.all.cds!inclusive.both	0.004244700254578799
Curated-gain.all.cds!inclusive.gain	0.0111163266661332
Curated-gain.all.cds!inclusive.loss	0.012263883837895855
Curated-gain.all.cds!stringent.both	0.04114252737072082
Curated-gain.all.cds!stringent.gain	0.0021685390383358945
Curated-gain.all.cds!stringent.loss	0.19779394835638667
Curated-gain.all.exon!inclusive.both	0.013817257668583289
Curated-gain.all.exon!inclusive.gain	0.020636841486075003
Curated-gain.all.exon!inclusive.loss	0.025457040407501345
Curated-gain.all.exon!stringent.both	0.06019420858976774
Curated-gain.all.exon!stringent.gain	0.07739396487059687
Curated-gain.all.exon!stringent.loss	0.1490569563946691
Curated-gain.all.intron!inclusive.both	0.01371912425403437
Curated-gain.all.intron!inclusive.gain	0.048763812628429895
Curated-gain.all.intron!inclusive.loss	0.028277296759695262
Curated-gain.all.intron!stringent.both	0.13271471058579576
Curated-gain.all.intron!stringent.gain	0.1169983691885387
Curated-gain.all.intron!stringent.loss	0.3413791113333151
Curated-gain.all.trans!inclusive.both	0.05900027838655204
Curated-gain.all.trans!inclusive.gain	0.0020577190223523773
Curated-gain.all.trans!inclusive.loss	0.16101137445110056
Curated-gain.all.trans!stringent.both	0.10214354656302531
Curated-gain.all.trans!stringent.gain	0.008734818046498687
Curated-gain.all.trans!stringent.loss	0.3414922647349055
Curated-gain.lex-smallest.cds!inclusive.both	0.023002128573670715
Curated-gain.lex-smallest.cds!inclusive.gain	0.02328060197369964
Curated-gain.lex-smallest.cds!inclusive.loss	0.06409101192062379
Curated-gain.lex-smallest.cds!stringent.both	0.127423178678898
Curated-gain.lex-smallest.cds!stringent.gain	0.006769272386840995
Curated-gain.lex-smallest.cds!stringent.loss	0.45152636262071205
Curated-gain.lex-smallest.exon!inclusive.both	0.014237180345477315
Curated-gain.lex-smallest.exon!inclusive.gain	0.04784583032463781
Curated-gain.lex-smallest.exon!inclusive.loss	0.025962648427299905
Curated-gain.lex-smallest.exon!stringent.both	0.09346039790688894
Curated-gain.lex-smallest.exon!stringent.gain	0.08715658545639123
Curated-gain.lex-smallest.exon!stringent.loss	0.3282950335763392
Curated-gain.lex-smallest.intron!inclusive.both	0.013451137019915469
Curated-gain.lex-smallest.intron!inclusive.gain	0.0907581259169059
Curated-gain.lex-smallest.intron!inclusive.loss	0.021368430811820008
Curated-gain.lex-smallest.intron!stringent.both	0.15474454223019252
Curated-gain.lex-smallest.intron!stringent.gain	0.11624792689032287
Curated-gain.lex-smallest.intron!stringent.loss	0.4569687541892594
Curated-gain.lex-smallest.trans!inclusive.both	0.16638878648801508
Curated-gain.lex-smallest.trans!inclusive.gain	0.028805824240342847
Curated-gain.lex-smallest.trans!inclusive.loss	0.3185563898397297
Curated-gain.lex-smallest.trans!stringent.both	0.3023354547764241
Curated-gain.lex-smallest.trans!stringent.gain	0.019141502544037195
Curated-gain.lex-smallest.trans!stringent.loss	0.6817070413405986
Curated-loss.all.cds!inclusive.both	0.3568910278084473
Curated-loss.all.cds!inclusive.gain	0.034352044641164745
Curated-loss.all.cds!inclusive.loss	0.8476196384843951
Curated-loss.all.cds!stringent.both	0.9572473982610088
Curated-loss.all.cds!stringent.gain	0.2834140863364907
Curated-loss.all.cds!stringent.loss	0.9837003886876126
Curated-loss.all.exon!inclusive.both	0.1595740385582494
Curated-loss.all.exon!inclusive.gain	0.020383857082684937
Curated-loss.all.exon!inclusive.loss	0.5245407938387323
Curated-loss.all.exon!stringent.both	0.6739036869137958
Curated-loss.all.exon!stringent.gain	0.08139422872973608
Curated-loss.all.exon!stringent.loss	0.6240865028845194
Curated-loss.all.intron!inclusive.both	0.5195839441211855
Curated-loss.all.intron!inclusive.gain	0.08703316218755346
Curated-loss.all.intron!inclusive.loss	0.8120713838896968
Curated-loss.all.intron!stringent.both	0.8961154865583982
Curated-loss.all.intron!stringent.gain	0.13588953297631473
Curated-loss.all.intron!stringent.loss	0.9146646703846634
Curated-loss.all.trans!inclusive.both	0.6052533768787739
Curated-loss.all.trans!inclusive.gain	0.008387085365485443
Curated-loss.all.trans!inclusive.loss	0.9614009064626856
Curated-loss.all.trans!stringent.both	0.9908246933272249
Curated-loss.all.trans!stringent.gain	0.44114776077705964
Curated-loss.all.trans!stringent.loss	0.9978179597738476
Curated-loss.lex-smallest.cds!inclusive.both	0.41606484585690573
Curated-loss.lex-smallest.cds!inclusive.gain	0.039697089309510734
Curated-loss.lex-smallest.cds!inclusive.loss	0.8568896080742389
Curated-loss.lex-smallest.cds!stringent.both	0.9670262975591007
Curated-loss.lex-smallest.cds!stringent.gain	0.25520416652858063
Curated-loss.lex-smallest.cds!stringent.loss	0.9911645309419582
Curated-loss.lex-smallest.exon!inclusive.both	0.21398016561392066
Curated-loss.lex-smallest.exon!inclusive.gain	0.04933212262189343
Curated-loss.lex-smallest.exon!inclusive.loss	0.3583532076683566
Curated-loss.lex-smallest.exon!stringent.both	0.6035858626985593
Curated-loss.lex-smallest.exon!stringent.gain	0.05244782688269928
Curated-loss.lex-smallest.exon!stringent.loss	0.5775884746834009
Curated-loss.lex-smallest.intron!inclusive.both	0.5044068659157853
Curated-loss.lex-smallest.intron!inclusive.gain	0.13620717843495866
Curated-loss.lex-smallest.intron!inclusive.loss	0.631572479011849
Curated-loss.lex-smallest.intron!stringent.both	0.8618774669590525
Curated-loss.lex-smallest.intron!stringent.gain	0.10054919655027815
Curated-loss.lex-smallest.intron!stringent.loss	0.8835560209040169
Curated-loss.lex-smallest.trans!inclusive.both	0.6214768008300529
Curated-loss.lex-smallest.trans!inclusive.gain	0.01403878936910353
Curated-loss.lex-smallest.trans!inclusive.loss	0.9694439338979653
Curated-loss.lex-smallest.trans!stringent.both	0.9963792341077145
Curated-loss.lex-smallest.trans!stringent.gain	0.4392479269142007
Curated-loss.lex-smallest.trans!stringent.loss	0.9993223993791837
Decipher-gain.all.cds!inclusive.both	0.4469050591237886
Decipher-gain.all.cds!inclusive.gain	0.6885913151382735
